PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
-	-9	com.apple.progressd
-	-9	com.apple.cloudphotod
84267	-9	com.apple.MENotificationService
67960	-15	com.apple.Finder
90732	0	com.apple.homed
-	-9	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
90742	0	com.apple.mediaremoteagent
90678	0	com.apple.FontWorker
84610	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
234	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
72256	0	application.ch.protonvpn.mac.20.25
-	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	-9	com.apple.UserPictureSyncAgent
90629	0	com.apple.nsurlsessiond
81757	-9	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
-	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
-	-9	com.apple.intelligenceplatformd
84413	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
71944	-9	com.apple.LinkedNotesUIService
84302	-9	com.apple.ndoagent
90612	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
73591	0	application.org.freevpn.vpn.5524036.5524042
-	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
90761	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
44705	0	application.ch.protonvpn.mac.1932884.1933441
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
84613	-9	com.apple.ManagedSettingsAgent
-	-9	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
33649	-9	com.apple.tipsd
77389	0	application.com.apple.Notes.1152921500311893562.1152921500311893567
-	0	com.apple.stickersd
84804	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
90700	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
84392	-9	com.apple.CommCenter
603	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
563	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
41269	0	com.apple.CoreDevice.remotepairingd
84806	0	com.apple.mdworker.shared.05000000-0100-0000-0000-000000000000
-	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
59467	-9	com.apple.AutoFillPanel
91656	0	com.apple.peopled
-	-9	com.apple.replicatord
84067	-9	com.apple.keyboardservicesd
84276	-9	com.apple.accessibility.axassetsd
94762	-9	com.apple.quicklook.ThumbnailsAgent
-	-9	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
90604	0	com.apple.WindowManager.agent
90600	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
-	-9	com.apple.webprivacyd
65277	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	-9	com.apple.managedcorespotlightd.BF629841-127A-B25A-3147-617648EC9364
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
74218	0	application.com.openai.chat.1356212.1356217
-	0	com.apple.warmd_agent
84293	-9	com.apple.voicebankingd
-	0	com.apple.universalaccesscontrol
-	-9	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	-9	com.apple.maps.destinationd
84803	-9	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.systemprofiler
-	-9	com.apple.homeenergyd
94671	-9	com.apple.cloudd
59054	-9	com.apple.noticeboard.agent
73481	0	com.apple.UserNotificationCenterAgent
-	-9	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
90699	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
23803	-9	com.apple.LocalAuthentication.UIAgent
-	-9	com.apple.ap.adprivacyd
33582	-9	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
90662	0	com.apple.networkserviceproxy
90597	0	com.apple.controlcenter
59043	0	com.apple.AMPLibraryAgent
91213	0	com.openssh.ssh-agent
-	0	com.apple.atsd
-	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
-	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
-	-9	com.apple.ctcategories.service
81759	-9	com.apple.ctkd
-	0	com.apple.package-script-service
81725	-9	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
-	-9	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
90768	0	com.apple.synapse.contentlinkingd
-	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
83461	-9	com.apple.triald
90616	0	com.apple.tccd
-	0	com.apple.nexusd
90722	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
84337	-9	com.apple.replayd
23503	-9	com.apple.coreservices.uiagent
249	-9	com.apple.icloud.searchpartyuseragent
24219	-9	com.apple.AccessibilityVisualsAgent
-	0	com.apple.installd.user
-	-9	com.apple.privatecloudcomputed
-	-9	com.apple.textunderstandingd
93895	-9	com.apple.akd
-	-9	com.apple.CallHistoryPluginHelper
-	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
-	0	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
