[*] GHOSTWIRE LOCAL AUDIT STARTED
PID	Status	Label
22825	-9	com.apple.progressd
22695	-9	com.apple.cloudphotod
59051	-15	com.apple.Finder
90732	0	com.apple.homed
22824	-9	com.apple.dataaccess.dataaccessd
90742	0	com.apple.mediaremoteagent
90678	0	com.apple.FontWorker
94741	-9	com.apple.bird
234	-9	com.apple.inputanalyticsd
90629	0	com.apple.nsurlsessiond
270	-9	com.apple.devicecheckd
42548	-9	com.apple.iconservices.iconservicesagent
29261	-9	com.apple.SafariBookmarksSyncAgent
33869	-9	com.apple.LinkedNotesUIService
23020	-9	com.apple.ndoagent
90612	0	com.apple.wallpaper.agent
90761	0	com.apple.commerce
22546	-9	com.apple.ManagedSettingsAgent
42715	-9	com.apple.photolibraryd
22810	0	application.com.apple.systempreferences.1152921500311901956.1152921500311901961
33649	-9	com.apple.tipsd
87305	0	application.com.apple.Notes.1152921500311893562.1152921500311893567
16945	-9	com.apple.bluetoothuserd
90700	0	com.apple.TextInputMenuAgent
135	-9	com.apple.CommCenter
603	0	com.apple.trustd.agent
563	0	com.apple.cfprefsd.xpc.agent
22823	-9	com.apple.TrustedPeersHelper
34237	-9	com.apple.AutoFillPanel
91656	0	com.apple.peopled
94762	-9	com.apple.quicklook.ThumbnailsAgent
90604	0	com.apple.WindowManager.agent
90600	0	com.apple.ContextStoreAgent
43869	-9	com.apple.webprivacyd
39720	0	com.apple.applespell
16799	-9	com.apple.managedcorespotlightd.BF629841-127A-B25A-3147-617648EC9364
59231	0	application.com.openai.chat.1356212.1356217
16400	-9	com.apple.voicebankingd
43606	-9	com.apple.Safari.SafeBrowsing.Service
31301	-9	com.apple.ScreenTimeAgent
94671	-9	com.apple.cloudd
33681	-9	com.apple.noticeboard.agent
90699	0	com.apple.diagnostics_agent
32092	-9	com.apple.LocalAuthentication.UIAgent
33582	-9	com.apple.ap.promotedcontentd
90662	0	com.apple.networkserviceproxy
90597	0	com.apple.controlcenter
91213	0	com.openssh.ssh-agent
7951	-9	com.apple.amsondevicestoraged
22816	-9	com.apple.CloudPhotosConfiguration
272	-9	com.apple.ctkd
23248	0	com.apple.mdworker.shared.04000000-0300-0000-0000-000000000000
94705	-9	com.apple.secinitd
90768	0	com.apple.synapse.contentlinkingd
91573	-9	com.apple.triald
90616	0	com.apple.tccd
90722	0	com.apple.StatusKitAgent
16800	-9	com.apple.replayd
252	-9	com.apple.coreservices.uiagent
249	-9	com.apple.icloud.searchpartyuseragent
59419	-9	com.apple.AccessibilityVisualsAgent
87421	0	application.com.apple.Passwords.1152921500311894426.1152921500311894453
93895	-9	com.apple.akd
34559	0	com.apple.Passwords.MenuBarExtra
90640	0	com.apple.cmio.ContinuityCaptureAgent
34697	-9	com.apple.printtool.agent
92258	0	com.apple.storeuid
53469	0	com.apple.rcd
90704	0	com.apple.CryptoTokenKit.ahp.agent
91249	0	com.apple.SafariNotificationAgent
90665	0	com.apple.duetexpertd
90655	0	com.apple.coreservices.useractivityd
90624	0	com.apple.ViewBridgeAuxiliary
578	0	com.apple.lsd
94722	-9	com.apple.pluginkit.pkd
22762	-9	com.apple.cache_delete
90627	0	com.apple.AMPDeviceDiscoveryAgent
91688	-9	com.apple.appleaccountd
94710	-9	com.apple.parsecd
90605	0	com.apple.Dock.agent
487	-9	com.apple.dmd
87709	-9	com.apple.transparencyd
31718	-9	com.apple.AppSSOAgent
90991	0	com.apple.mbuseragent
90593	0	com.apple.UserEventAgent-Aqua
22704	-9	com.apple.followupd
90639	0	com.apple.identityservicesd
90617	0	com.apple.telephonyutilities.callservicesd
87657	-9	com.apple.generativeexperiencesd
16369	0	application.org.mozilla.firefox.2057113.5224311.071170CB-AD2B-494D-9683-AC312108BC10
23011	-9	com.apple.storekitagent
91389	0	com.apple.security.DiskUnmountWatcher
93907	-9	com.apple.CoreLocationAgent
59421	0	application.com.apple.Terminal.1152921500311911761.1152921500311911766
30604	-9	com.apple.backgroundtaskmanagement.agent
23021	-9	com.apple.intelligenceflowd
23045	-9	com.apple.businessservicesd
23025	-9	com.apple.feedbackd
94748	-9	com.apple.BTServer.cloudpairing
23015	0	application.com.apple.keychainaccess.1152921500312064581.1152921500312064586
90625	0	com.apple.coreservices.sharedfilelistd
90602	0	com.apple.pboard
90630	0	com.apple.rapportd
29519	-9	com.apple.SoftwareUpdateNotificationManager
90772	0	com.apple.TextInputUI.xpc.CursorUIViewService
599	0	com.apple.containermanagerd
23242	0	com.apple.mdworker.shared.0C000000-0600-0000-0000-000000000000
22561	-9	com.apple.imdpersistence.IMDPersistenceAgent
